ITEM_ID,ITEM_NAME,AVG_RATING,REVIEW_COUNT,L2_CATEGORY
767919,Kundal Cherry Blossom Caffeine Scalp Care Shampoo,4.34,977,Shampoo And Conditioner
767919,Kundal Cherry Blossom Caffeine Scalp Care Shampoo,4.34,977,Shampoo And Conditioner
820031,Mamaearth All In One Self Care Essentials Kit,3.94,957,Gift Packs
820031,Mamaearth All In One Self Care Essentials Kit,3.94,957,Gift Packs
859363,Aquacolor Monthly Disposable Premium Dusk Blue Color Contact Lenses (2 Lens/Box) And 0 Power,4.79,942,Basic Pharma
859363,Aquacolor Monthly Disposable Premium Dusk Blue Color Contact Lenses (2 Lens/Box) And 0 Power,4.79,942,Basic Pharma
327202,"Xo Curls Soft Hold, All Day Definition Gel With Flax Seed & Argan Oil For Defined, Well Shaped Frizz Free Hair.",4.43,937,Hair Oil And Serum
327202,"Xo Curls Soft Hold, All Day Definition Gel With Flax Seed & Argan Oil For Defined, Well Shaped Frizz Free Hair.",4.43,937,Hair Oil And Serum
852209,Dove Intense Repair Shampoo And 10 In 1 Deep Repair Treatment Hair Mask Combo,4.52,896,Shampoo And Conditioner
852209,Dove Intense Repair Shampoo And 10 In 1 Deep Repair Treatment Hair Mask Combo,4.52,896,Shampoo And Conditioner
87938,Vlcc Anti Tan Single Facial Kit,4.76,888,Face And Lip Care
87938,Vlcc Anti Tan Single Facial Kit,4.76,888,Face And Lip Care
874438,Isntree Green Tea Fresh Toner Mini,4.66,836,Face Makeup
874438,Isntree Green Tea Fresh Toner Mini,4.66,836,Face Makeup
424261,Makeup Revolution Relove Baby Gloss Dream,4.48,783,Face And Lip Care
424261,Makeup Revolution Relove Baby Gloss Dream,4.48,783,Face And Lip Care
582927,"Chemist At Play Vanilla Tinted Lip Balm For Dry, Chapped & Pigmented Lips",4.19,768,Face And Lip Care
582927,"Chemist At Play Vanilla Tinted Lip Balm For Dry, Chapped & Pigmented Lips",4.19,768,Face And Lip Care
948067,Shryoan Smil-Y Glossy Nail Enamel With Enhanced Colors | Long Lasting | Shade - 50,4.48,723,Nail Paints And Accessories
948067,Shryoan Smil-Y Glossy Nail Enamel With Enhanced Colors | Long Lasting | Shade - 50,4.48,723,Nail Paints And Accessories
787147,Soulflower Citronella Essential Oil Soothing Skin & Scalp Controls Acne Hair Greasiness,4.55,717,Hair Oil And Serum
787147,Soulflower Citronella Essential Oil Soothing Skin & Scalp Controls Acne Hair Greasiness,4.55,717,Hair Oil And Serum
145778,Multani Naturals Amla & Bhringraj Shampoo | Useful In Hair Growth & Hair Fall | Sls & Paraben Free | Dermatologically & Clinically Tested,3.99,713,Shampoo And Conditioner
145778,Multani Naturals Amla & Bhringraj Shampoo | Useful In Hair Growth & Hair Fall | Sls & Paraben Free | Dermatologically & Clinically Tested,3.99,713,Shampoo And Conditioner
207534,Lakme 9to5 Hya Matte Lip Liquid + Hyaluronic Acid Coffee Break,4.27,705,Lip Makeup
207534,Lakme 9to5 Hya Matte Lip Liquid + Hyaluronic Acid Coffee Break,4.27,705,Lip Makeup
204824,Enn Beauty Extra Sheen Hydrating Lip Gloss With Ghee Color Changing Lip Gloss Kit,4.14,685,Gift Packs
204824,Enn Beauty Extra Sheen Hydrating Lip Gloss With Ghee Color Changing Lip Gloss Kit,4.14,685,Gift Packs
589683,Bombay Shaving Company Sensi Go 5 Premium 5-Blade Disposable Men's Razor - Free Post Shave Balm,4.62,683,Shaving Needs
589683,Bombay Shaving Company Sensi Go 5 Premium 5-Blade Disposable Men's Razor - Free Post Shave Balm,4.62,683,Shaving Needs
766692,Roots Truglam Brush Use For Men And Women - 9553s,4.41,678,Beauty Accessories
766692,Roots Truglam Brush Use For Men And Women - 9553s,4.41,678,Beauty Accessories
66443,Renee False Eyelashes Me-Mia-The Fallback,4.3,671,Eye Makeup
66443,Renee False Eyelashes Me-Mia-The Fallback,4.3,671,Eye Makeup
569114,Renee Princess Royal Shine Lip Gloss Set,4.5,648,Lip Makeup
569114,Renee Princess Royal Shine Lip Gloss Set,4.5,648,Lip Makeup
223898,"Lakme Rose Day Lipstick (Bullet, Medium Coverage, Matte)",3.77,637,Lip Makeup
223898,"Lakme Rose Day Lipstick (Bullet, Medium Coverage, Matte)",3.77,637,Lip Makeup
776585,"Roots Wooden Comb | Fine Teeth | 100% Natural Wood | Anti-Frizz & Shine | For Long, Thick & Dry Hair",4.56,627,Makeup Brushes And Tools
776585,"Roots Wooden Comb | Fine Teeth | 100% Natural Wood | Anti-Frizz & Shine | For Long, Thick & Dry Hair",4.56,627,Makeup Brushes And Tools
141586,"Healthfab Gopadfree Reusable Leak-Proof Period Panty Usable For 2 Years Without Pads, Black",4.66,611,Feminine Hygiene
141586,"Healthfab Gopadfree Reusable Leak-Proof Period Panty Usable For 2 Years Without Pads, Black",4.66,611,Feminine Hygiene
823722,Dr. Morepen Fat Burner Tablets,4.4,589,Vitamins And Digestives
823722,Dr. Morepen Fat Burner Tablets,4.4,589,Vitamins And Digestives
188315,Roots Wooden Hair Brush | Round Soft Tips | Prevent Scalp Scraping | Provide Gental Massage,4.23,586,Beauty Accessories
188315,Roots Wooden Hair Brush | Round Soft Tips | Prevent Scalp Scraping | Provide Gental Massage,4.23,586,Beauty Accessories
502877,Maybelline Super Stay Lumi Matte Foundation 30h Longwear Light As Air 123,4.48,583,Face Makeup
502877,Maybelline Super Stay Lumi Matte Foundation 30h Longwear Light As Air 123,4.48,583,Face Makeup
682333,Blue Heaven Lip Bomb With Tint 8g Bubblegum,4.57,581,Lip Makeup
682333,Blue Heaven Lip Bomb With Tint 8g Bubblegum,4.57,581,Lip Makeup
331006,"Renee Floral Fest Eau De Parfum, Long-Lasting Scent Of Orange",4.55,580,"Perfumes, Deos And Talc"
331006,"Renee Floral Fest Eau De Parfum, Long-Lasting Scent Of Orange",4.55,580,"Perfumes, Deos And Talc"
999409,La Pink Perfume Body Mist Gift Set | Long Lasting Luxury Fragrance Mist For Women & Men (Set Of 4),4.67,564,Gift Packs
999409,La Pink Perfume Body Mist Gift Set | Long Lasting Luxury Fragrance Mist For Women & Men (Set Of 4),4.67,564,Gift Packs
424262,Parachute Advansed Pre- Wash Nourishing Hair Mask For Scalp & Hair,4.29,558,Hair Oil And Serum
424262,Parachute Advansed Pre- Wash Nourishing Hair Mask For Scalp & Hair,4.29,558,Hair Oil And Serum
917123,"Vlcc Ultimo Blends Charcoal Face Wash - 100ml - Whitening & Detoxifying, Acne Control, Exfoliation, Whitening With Activated Charcoal & Aloe Vera Extract",4.34,557,Face And Lip Care
917123,"Vlcc Ultimo Blends Charcoal Face Wash - 100ml - Whitening & Detoxifying, Acne Control, Exfoliation, Whitening With Activated Charcoal & Aloe Vera Extract",4.34,557,Face And Lip Care
428135,"Whisper Super Absorbent Period Panty, M-L Panties",4.01,550,Feminine Hygiene
428135,"Whisper Super Absorbent Period Panty, M-L Panties",4.01,550,Feminine Hygiene
349158,"Colgate Maxfresh Rainbow Fresh Toothpaste With Cooling Crystals, 10x Longer Lasting Cooling & Colgate Periogard Gum Expert Toothbrush - Ultra Soft Toothbrush",4.2,546,Oral Care
349158,"Colgate Maxfresh Rainbow Fresh Toothpaste With Cooling Crystals, 10x Longer Lasting Cooling & Colgate Periogard Gum Expert Toothbrush - Ultra Soft Toothbrush",4.2,546,Oral Care
696716,Clayco Matcha Enzyme Scrub For Dead Skin Removal,3.74,540,Face Wash And Scrub
488762,Dr Batra's Pro+ Hair Growth Serum,4.97,540,Hair Oil And Serum
696716,Clayco Matcha Enzyme Scrub For Dead Skin Removal,3.74,540,Face Wash And Scrub
488762,Dr Batra's Pro+ Hair Growth Serum,4.97,540,Hair Oil And Serum
552936,Renee Matte Lock Lipstick- 04 Pop,4.87,538,Lip Makeup
552936,Renee Matte Lock Lipstick- 04 Pop,4.87,538,Lip Makeup
405272,Old Spice Booster Deodorant Stick,2.8,524,"Perfumes, Deos And Talc"
405272,Old Spice Booster Deodorant Stick,2.8,524,"Perfumes, Deos And Talc"
861333,Alite Anti-Acne Charcoal Facewash With Aloe Vera & Meadowsweet Extract | Paraben-Free,4.37,502,Face Wash And Scrub
861333,Alite Anti-Acne Charcoal Facewash With Aloe Vera & Meadowsweet Extract | Paraben-Free,4.37,502,Face Wash And Scrub
223749,Bare Necessities Soak It Up Nourishing Body Lotion Moisturiser For All Skin Types| With Apricot & Jojoba Oil For Hydration | Paraben & Sulphate-Free (250g),4.32,498,Body Lotion
962154,The Derma Co 1% Hyaluronic Long Lasting Sunscreen Acid Vitamin E Spf 50 Pa++++ & Aqualogica Illuminate+ Dewy Sunscreen Spf 50+ Pa++++ Wild Berries,4.34,498,Face Cream
223749,Bare Necessities Soak It Up Nourishing Body Lotion Moisturiser For All Skin Types| With Apricot & Jojoba Oil For Hydration | Paraben & Sulphate-Free (250g),4.32,498,Body Lotion
962154,The Derma Co 1% Hyaluronic Long Lasting Sunscreen Acid Vitamin E Spf 50 Pa++++ & Aqualogica Illuminate+ Dewy Sunscreen Spf 50+ Pa++++ Wild Berries,4.34,498,Face Cream
696817,Aaa Lemon & Goats Milk Anti Aging & Refreshing Soap,4.34,488,Soap
696817,Aaa Lemon & Goats Milk Anti Aging & Refreshing Soap,4.34,488,Soap
215169,Swiss Beauty You & Eye Power Black Kajal - Set Of 2,4.51,484,Eye Makeup
215169,Swiss Beauty You & Eye Power Black Kajal - Set Of 2,4.51,484,Eye Makeup
712507,Sofy Daily Fresh Pantyliners,3.89,476,Feminine Hygiene
712507,Sofy Daily Fresh Pantyliners,3.89,476,Feminine Hygiene
893128,Ouchie Non-Toxic Printed Bandages - Fantasy Creatures (20 Strips),4.36,470,Wound Care And Pain Relief
893128,Ouchie Non-Toxic Printed Bandages - Fantasy Creatures (20 Strips),4.36,470,Wound Care And Pain Relief
582282,Conscious Chemist Hybrid Lightweight Gel Sun Drink Sunscreen Spf 50 Pa++++ With Ceramides Buy 1 Get 1 Free,4.07,466,Face Cream
582282,Conscious Chemist Hybrid Lightweight Gel Sun Drink Sunscreen Spf 50 Pa++++ With Ceramides Buy 1 Get 1 Free,4.07,466,Face Cream
797487,Nat Habit 100% Cold Pressed Castor Oil For Hair Growth & Skin Care,4.34,462,Hair Oil And Serum
797487,Nat Habit 100% Cold Pressed Castor Oil For Hair Growth & Skin Care,4.34,462,Hair Oil And Serum
