ITEM_ID,MRP,SELLING_PRICE,DISCOUNT_PCT
19523,195.0,191.0,2.05
16976,450.0,415.0,7.78
535,175.0,175.0,0.0
146301,570.0,570.0,0.0
14030,750.0,750.0,0.0
31216,2985.0,2985.0,0.0
6411,545.0,545.0,0.0
51054,749.0,699.0,6.68
55767,329.0,329.0,0.0
19654,519.0,519.0,0.0
1609,1380.0,1380.0,0.0
31153,210.0,210.0,0.0
6516,252.0,252.0,0.0
2355,180.0,172.0,4.44
82216,1069.0,1069.0,0.0
41795,827.0,765.0,7.5
42973,649.0,649.0,0.0
33931,599.0,599.0,0.0
66717,1000.0,725.0,27.5
33039,899.0,899.0,0.0
97958,515.0,513.0,0.39
72328,249.0,249.0,0.0
20446,625.0,625.0,0.0
2285,280.0,280.0,0.0
72126,358.0,358.0,0.0
26645,319.0,319.0,0.0
802,230.0,230.0,0.0
9782,1390.0,1042.0,25.04
14431,419.0,419.0,0.0
9981,179.0,179.0,0.0
76579,599.0,599.0,0.0
93965,250.0,250.0,0.0
26965,659.0,659.0,0.0
95963,329.0,329.0,0.0
88106,299.0,269.0,10.03
415726,998.0,798.0,20.04
63617,668.0,668.0,0.0
44233,499.0,499.0,0.0
35154,230.0,230.0,0.0
41883,279.0,279.0,0.0
9405,89.0,89.0,0.0
51169,429.0,429.0,0.0
83866,499.0,499.0,0.0
66192,499.0,499.0,0.0
72644,69.0,69.0,0.0
23405,350.0,350.0,0.0
41863,285.0,280.0,1.75
66218,499.0,499.0,0.0
982414,955.0,840.0,12.04
18914,399.0,399.0,0.0
16401,197.0,197.0,0.0
32105,549.0,549.0,0.0
68972,995.0,995.0,0.0
27186,199.0,199.0,0.0
73344,399.0,399.0,0.0
9355,199.0,199.0,0.0
65534,420.0,412.0,1.9
23725,650.0,650.0,0.0
30384,700.0,693.0,1.0
34856,1415.0,1165.0,17.67
8848,966.0,966.0,0.0
46885,155.0,155.0,0.0
57221,5860.0,5860.0,0.0
92778,108.0,100.0,7.41
870122,1590.0,1590.0,0.0
611,180.0,180.0,0.0
89960,349.0,249.0,28.65
73089,3799.0,3799.0,0.0
767614,880.0,850.0,3.41
29608,208.0,200.0,3.85
991999,1300.0,1105.0,15.0
31117,256.0,250.0,2.34
74444,210.0,210.0,0.0
2037,218.0,210.0,3.67
70951,249.0,249.0,0.0
56398,229.0,218.0,4.8
50153,3499.0,3499.0,0.0
26108,379.0,379.0,0.0
82559,499.0,449.0,10.02
30952,299.0,259.0,13.38
59844,299.0,299.0,0.0
42717,295.0,265.0,10.17
85643,877.0,875.0,0.23
13613,385.0,350.0,9.09
70649,150.0,99.0,34.0
44208,1600.0,1600.0,0.0
88547,449.0,449.0,0.0
77015,1749.0,1714.0,2.0
13947,370.0,225.0,39.19
89796,330.0,330.0,0.0
20988,690.0,690.0,0.0
44230,860.0,810.0,5.81
25882,225.0,220.0,2.22
93696,499.0,499.0,0.0
12768,699.0,699.0,0.0
11607,280.0,249.0,11.07
1250,175.0,175.0,0.0
23155,590.0,584.0,1.02
20161,1000.0,999.0,0.1
41786,1597.0,1124.0,29.62
74870,699.0,699.0,0.0
10406,599.0,599.0,0.0
4531,209.0,205.0,1.91
26567,218.0,205.0,5.96
70358,499.0,499.0,0.0
56732,400.0,360.0,10.0
76254,125.0,125.0,0.0
67179,594.0,578.0,2.69
51278,1399.0,1399.0,0.0
77053,966.0,882.0,8.7
21633,2110.0,2110.0,0.0
32523,499.0,499.0,0.0
86463,791.0,706.0,10.75
23528,970.0,960.0,1.03
65502,686.0,685.0,0.15
24488,115.0,115.0,0.0
87938,410.0,361.0,11.95
31161,770.0,770.0,0.0
50765,500.0,499.0,0.2
23684,648.0,590.0,8.95
20407,222.0,222.0,0.0
14747,599.0,539.0,10.02
319068,1200.0,1200.0,0.0
27081,109.0,109.0,0.0
49751,699.0,699.0,0.0
5910,399.0,399.0,0.0
42366,349.0,349.0,0.0
94644,460.0,460.0,0.0
47343,506.0,129.0,74.51
71686,290.0,290.0,0.0
816268,1250.0,1250.0,0.0
42141,269.0,264.0,1.86
56322,299.0,229.0,23.41
67412,280.0,280.0,0.0
23785,150.0,148.0,1.33
54888,499.0,499.0,0.0
81220,516.0,480.0,6.98
56039,390.0,390.0,0.0
67469,199.0,199.0,0.0
33026,349.0,349.0,0.0
23600,1198.0,827.0,30.97
97118,1799.0,1799.0,0.0
32444,510.0,456.0,10.59
84694,650.0,650.0,0.0
19299,998.0,998.0,0.0
23744,496.0,496.0,0.0
34528,899.0,899.0,0.0
77397,590.0,444.0,24.75
71656,760.0,760.0,0.0
78210,679.0,679.0,0.0
13482,975.0,975.0,0.0
61877,549.0,549.0,0.0
46681,110.0,107.0,2.73
23721,80.0,80.0,0.0
75525,595.0,595.0,0.0
14031,375.0,375.0,0.0
3990,279.0,279.0,0.0
18137,270.0,270.0,0.0
92538,499.0,499.0,0.0
81869,1494.0,1494.0,0.0
521689,1650.0,1650.0,0.0
73114,129.0,129.0,0.0
7645,3450.0,3450.0,0.0
76148,649.0,649.0,0.0
66492,279.0,279.0,0.0
59713,535.0,535.0,0.0
44251,499.0,499.0,0.0
42666,398.0,398.0,0.0
