ITEM_ID,AVG_RATING,REVIEW_COUNT
5952797,4.33,16804
145630553,4.33,16804
13280185,4.62,16741
259509,4.62,16741
30210495,4.22,16685
174357202,4.22,16685
29569306,4.45,16680
10581898,4.71,16661
103648156,4.73,16518
15276638,4.73,16518
122955041,4.73,16518
1528568,4.56,16331
45905677,4.56,16331
45905988,4.56,16331
130316508,4.3,16227
34585083,4.62,16207
5637775,4.69,16167
89768503,4.57,16144
8151543,4.34,16074
145102445,4.34,16074
26310539,4.34,16074
74370690,4.64,16012
643934,4.57,15911
86420393,4.57,15911
7968937,4.27,15906
169667141,4.39,15897
27402495,4.39,15897
108801505,4.39,15897
102196089,4.55,15886
38744504,4.55,15886
2891936,4.55,15886
4550755,4.29,15874
126686492,4.29,15874
67856029,4.65,15756
145105811,4.56,15713
33416693,4.56,15713
145634413,4.56,15713
19997744,3.89,15694
145627287,3.89,15694
145102863,3.89,15694
7968947,4.31,15486
34110613,4.74,15485
16014114,4.74,15485
36870357,4.74,15485
38392307,4.74,15485
45391483,4.31,15471
36747313,4.31,15471
11006814,4.31,15471
51464487,4.74,15380
44285561,4.44,15379
4097938,4.44,15379
30428856,4.44,15379
47351056,4.44,15379
145629640,4.66,15242
145105098,4.66,15242
18986437,4.7,15183
376566,4.7,15183
48720361,4.16,15173
50228496,4.16,15173
30210446,4.16,15173
68333873,4.16,15173
15352611,4.7,15107
8656701,4.7,15107
81925669,4.59,14992
54356162,4.65,14966
1528559,4.55,14867
145098822,4.55,14867
182838543,4.55,14867
182838545,4.55,14867
145627072,4.55,14867
27331370,4.3,14848
6738567,4.3,14848
145098842,4.03,14844
2906548,4.03,14844
145626977,4.03,14844
142980990,4.03,14844
2813081,4.53,14815
145098633,4.53,14815
145626775,4.53,14815
130316513,4.27,14734
86408061,4.6,14479
19307771,4.71,14478
51721047,4.45,14465
27294551,4.4,14442
75670297,4.34,14410
25987272,4.34,14410
11725230,4.34,14410
70904854,4.51,14370
6799035,4.51,14370
47348984,4.51,14370
49106910,4.27,14294
64186853,4.6,14188
4027659,4.28,14175
9519010,4.67,14151
11715962,4.59,14114
8123872,4.48,14044
56793662,4.7,13981
72777442,4.71,13971
145630444,4.71,13971
145104845,4.71,13971
5338243,4.59,13920
26783136,4.39,13855
145100681,4.69,13782
171966814,4.69,13782
17317266,4.69,13782
158641153,4.69,13782
18312528,4.47,13763
33726932,4.47,13763
145105369,4.59,13760
31830666,4.59,13760
145099006,4.69,13566
4823418,4.69,13566
145630438,4.69,13566
145626761,4.52,13523
2813096,4.52,13523
145098608,4.52,13523
9432220,4.39,13394
66658054,4.22,13374
176716552,4.22,13374
2374550,4.41,13351
12037810,4.4,13338
48233597,4.4,13338
783179,4.54,13335
145097915,4.54,13335
15978657,4.54,13335
145626751,4.54,13335
26880636,4.6,13159
24793792,4.6,13159
33914206,4.57,13104
7019553,4.49,13096
18995711,4.49,13096
71916944,4.49,13096
41414490,4.7,13072
103617282,4.66,13024
16744222,4.66,13024
56793683,4.66,13024
107755354,4.61,13019
4027567,4.21,13005
28762445,4.65,12987
56371434,4.35,12969
28709776,4.35,12969
33617198,4.35,12969
48472697,4.35,12969
77425277,4.35,12969
38093837,4.61,12937
47696907,4.61,12937
39903163,4.34,12895
29569529,4.42,12874
12804782,4.45,12795
8387414,4.42,12761
145626765,4.43,12645
2813076,4.43,12645
81831226,4.4,12631
11807644,4.65,12631
115100740,4.18,12599
20369239,4.18,12599
8362628,4.58,12494
90972209,4.57,12453
7388920,4.34,12395
33914988,4.62,12366
9432254,4.19,12239
25960297,4.19,12239
3248313,4.72,12227
